"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"484","ENSG00000253883.1","IGHV3-19",1.07179921281645e-26,-3.02851121484135
"485","ENSG00000248050.1","AC079061.1",1.21295144597679e-26,-2.17613501128429
"486","ENSG00000137731.13","FXYD2",1.27698613156358e-26,-2.4347187572041
"487","ENSG00000280081.3","LINC01667",1.31241000976927e-26,3.97791248284093
"488","ENSG00000085552.16","IGSF9",1.56238931412194e-26,-2.01874280406501
"489","ENSG00000211959.2","IGHV4-39",1.75436382464474e-26,-3.35070881638744
"490","ENSG00000231047.1","GCNT1P3",1.8356109472664e-26,-2.30954766252013
"491","ENSG00000254395.1","IGHV4-55",1.90061436718792e-26,-3.14768737673324
"492","ENSG00000223931.2","AC142381.1",2.03919549335687e-26,-2.93015791674567
"493","ENSG00000211967.3","IGHV3-53",2.5059962704506e-26,-2.95129226268972
"494","ENSG00000211649.3","IGLV7-46",2.74458933487258e-26,-3.17469604427707
"495","ENSG00000276966.2","HIST1H4E",2.74578581427383e-26,2.05811276856759
"496","ENSG00000211652.2","IGLV7-43",2.91959099918819e-26,-3.29962515077009
"497","ENSG00000272405.1","AL365181.3",3.03943137505077e-26,2.5911264070721
"498","ENSG00000211685.3","IGLC7",3.43056542027895e-26,-3.17315944374294
"499","ENSG00000211677.2","IGLC2",3.48903586321745e-26,-3.21662319195638
"500","ENSG00000126838.9","PZP",3.97401570865848e-26,-3.54213607235882
"501","ENSG00000170476.15","MZB1",4.16108521977727e-26,-2.343965966541
"502","ENSG00000232216.1","IGHV3-43",4.2936195333885e-26,-3.16686464948348
"503","ENSG00000253936.1","IGHV3-63",5.17499347516131e-26,-2.53882244441597
"504","ENSG00000237111.1","IGHJ3P",5.29649712240555e-26,-2.37684488797516
"505","ENSG00000253931.1","AC105118.1",6.87335420929991e-26,2.71565979570399
"506","ENSG00000211679.2","IGLC3",7.38336024317277e-26,-3.24943761977189
"507","ENSG00000233999.3","IGKV3OR2-268",9.9315803156325e-26,-2.8314616856573
"508","ENSG00000211933.2","IGHV6-1",1.27460402082649e-25,-3.32024491360214
"509","ENSG00000211897.9","IGHG3",1.37411976057124e-25,-2.98790366902547
"510","ENSG00000243466.1","IGKV1-5",1.38236067902942e-25,-3.43919243646398
"511","ENSG00000250056.5","LINC01018",1.4186441856512e-25,-2.2975879235729
"512","ENSG00000253763.1","IGHV3-6",1.70764800422652e-25,-2.62775065243606
"513","ENSG00000225523.2","IGKV6D-21",2.03970250699663e-25,-3.35096687345128
"514","ENSG00000273962.1","IGKV2-40",2.32776421982281e-25,-3.25252072591051
"515","ENSG00000224960.4","PPP4R3C",2.33182712226483e-25,3.59752381221042
"516","ENSG00000156738.17","MS4A1",2.47712037728071e-25,-2.52883901546971
"517","ENSG00000253898.1","LINC01419",2.48071990291837e-25,3.76230894057643
"518","ENSG00000241351.3","IGKV3-11",2.56842594515133e-25,-3.55984635115485
"519","ENSG00000211662.2","IGLV3-21",2.86481161443554e-25,-3.35369850144017
"520","ENSG00000211676.2","IGLJ2",3.64907132187084e-25,-2.51903029180518
"521","ENSG00000105369.9","CD79A",4.19718447696185e-25,-2.28610832389354
"522","ENSG00000196549.10","MME",4.34122114520349e-25,-2.90327721036142
"523","ENSG00000253234.1","IGLV2-5",5.0753319251868e-25,-2.3755508543672
"524","ENSG00000211955.2","IGHV3-33",5.16100398118046e-25,-3.61717961650163
"525","ENSG00000262095.1","MTATP6P25",6.04369837635777e-25,-2.2945470300622
"526","ENSG00000273036.3","AL390726.5",8.83246573994175e-25,-2.49201299409519
"527","ENSG00000211956.2","IGHV4-34",9.2314782814861e-25,-2.70744861042632
"528","ENSG00000133636.10","NTS",1.11861522516407e-24,-2.60780412469003
"529","ENSG00000044012.3","GUCA2B",1.1801357258279e-24,-2.04495823402216
"530","ENSG00000211949.3","IGHV3-23",1.49922157170298e-24,-3.26756324995636
"531","ENSG00000242534.2","IGKV2D-28",1.69898497538509e-24,-3.36757565399712
"532","ENSG00000188403.7","IGHV1OR15-9",2.37572665797448e-24,-2.38428296254881
"533","ENSG00000253451.1","IGLV2-28",2.69885720546346e-24,-2.04856328956421
"534","ENSG00000223350.2","IGLV9-49",2.75941126783763e-24,-3.0580450967696
"535","ENSG00000129009.12","ISLR",3.26011673420405e-24,-2.05883094754753
"536","ENSG00000271375.1","AC134879.2",3.51554144254636e-24,-2.3913683771935
"537","ENSG00000211639.2","IGLV4-60",3.65323201349375e-24,-2.92325530865325
"538","ENSG00000244437.1","IGKV3-15",3.93547367123191e-24,-3.55584632220594
"539","ENSG00000164920.9","OSR2",4.08583775151838e-24,2.53463133978097
"540","ENSG00000204379.10","XAGE1A",4.10924515573294e-24,4.16920992112062
"541","ENSG00000198650.10","TAT",4.24398357064639e-24,-2.23393475497393
"542","ENSG00000117983.17","MUC5B",5.87283484259699e-24,-3.27856060948245
"543","ENSG00000198203.9","SULT1C2",7.3527296622795e-24,2.37764925661918
"544","ENSG00000167244.19","IGF2",7.52147272471995e-24,-3.41318388951736
"545","ENSG00000211934.3","IGHV1-2",7.93079536885452e-24,-3.35601852722047
