"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"378","ENSG00000172935.8","MRGPRF",7.8051141740773e-28,-2.03737499783607
"379","ENSG00000253132.1","IGHV3-62",8.57313605871328e-28,-2.77683860177863
"380","ENSG00000239855.1","IGKV1-6",1.06859027062032e-27,-3.62919813996761
"381","ENSG00000211941.3","IGHV3-11",1.13756040746456e-27,-3.79905284705281
"382","ENSG00000211625.2","IGKV3D-20",1.56723022011671e-27,-3.53790154640907
"383","ENSG00000167642.12","SPINT2",1.78240937151984e-27,-2.13751344732531
"384","ENSG00000259108.2","LINC01595",1.88022076972237e-27,-2.15335953551641
"385","ENSG00000126752.7","SSX1",2.10905220660394e-27,4.1328392465668
"386","ENSG00000211658.2","IGLV3-27",2.20089801522707e-27,-3.22318497341482
"387","ENSG00000125740.13","FOSB",3.01814406980647e-27,-2.81439650999314
"388","ENSG00000177138.15","FAM9B",3.85285409604596e-27,-2.44762315879886
"389","ENSG00000240864.3","IGKV1-16",4.0017982585861e-27,-3.63911111462746
"390","ENSG00000211650.2","IGLV5-45",5.33781531599418e-27,-3.06272137878724
"391","ENSG00000066468.22","FGFR2",5.54681205372918e-27,-2.71854092873084
"392","ENSG00000046774.9","MAGEC2",6.87847704355224e-27,3.95590383755512
"393","ENSG00000180432.5","CYP8B1",7.24247845883805e-27,-2.7949245650224
"394","ENSG00000205865.4","FAM99B",8.28032121992139e-27,-3.07162475891599
"395","ENSG00000068366.19","ACSL4",1.02216294006511e-26,2.25445623295202
"396","ENSG00000211640.4","IGLV6-57",1.25517705551353e-26,-3.39183706280282
"397","ENSG00000095596.11","CYP26A1",1.45194047183428e-26,-4.07872040116496
"398","ENSG00000073756.11","PTGS2",1.49767014028318e-26,-2.54778244528423
"399","ENSG00000179772.7","FOXS1",1.70804481990658e-26,2.16527562430814
"400","ENSG00000211632.4","IGKV3D-11",1.81309848431279e-26,-2.98014290241842
"401","ENSG00000211938.2","IGHV3-7",1.89095067746661e-26,-3.63396779637817
"402","ENSG00000248144.5","ADH1C",1.97226771216988e-26,-2.39354650048276
"403","ENSG00000211673.2","IGLV3-1",1.99074664483604e-26,-3.60778582390855
"404","ENSG00000211950.2","IGHV1-24",2.06686398434419e-26,-3.6975912275298
"405","ENSG00000099953.9","MMP11",2.38369798036925e-26,2.24539730978259
"406","ENSG00000198300.13","PEG3",2.44704135662156e-26,-2.19950926662208
"407","ENSG00000203811.1","HIST2H3C",2.81186374393905e-26,2.03339848573723
"408","ENSG00000211637.2","IGLV4-69",2.98982596275958e-26,-3.22394071712459
"409","ENSG00000243290.3","IGKV1-12",3.08840237763643e-26,-4.00071843161219
"410","ENSG00000115602.16","IL1RL1",3.52410216065487e-26,-2.78560568335484
"411","ENSG00000211644.3","IGLV1-51",4.28798186131235e-26,-2.76663023895406
"412","ENSG00000211952.3","IGHV4-28",4.37843990671752e-26,-3.24157308236503
"413","ENSG00000211663.2","IGLV3-19",4.39717971436651e-26,-3.70594877881025
"414","ENSG00000211892.4","IGHG4",4.59175009322538e-26,-3.63377803260304
"415","ENSG00000211648.2","IGLV1-47",5.47408778424985e-26,-3.64532554074113
"416","ENSG00000277559.1","AC018553.1",5.55086326082225e-26,2.58441641221458
"417","ENSG00000211942.3","IGHV3-13",6.29944092294735e-26,-3.15180849917125
"418","ENSG00000116785.13","CFHR3",6.42846061164941e-26,-2.19382186028233
"419","ENSG00000084110.10","HAL",6.42846061164941e-26,-2.41447223329926
"420","ENSG00000182798.10","MAGEB17",7.26400220927069e-26,2.65404834024944
"421","ENSG00000114200.9","BCHE",7.49474009602761e-26,-2.05200810771508
"422","ENSG00000254338.1","MAFA-AS1",8.66844048363378e-26,2.62017199893514
"423","ENSG00000211965.4","IGHV3-49",8.81296147613638e-26,-3.61024596992817
"424","ENSG00000227300.12","KRT16P2",9.12011017981192e-26,-3.48319713464236
"425","ENSG00000211653.2","IGLV1-40",9.20686304910154e-26,-3.58435514099842
"426","ENSG00000174348.13","PODN",9.21962295241519e-26,-2.201525550362
"427","ENSG00000211972.2","IGHV3-66",9.63046607397237e-26,-3.43667263469602
"428","ENSG00000143195.12","ILDR2",1.03913271365139e-25,2.23382723787851
"429","ENSG00000211968.3","IGHV1-58",1.09507868928231e-25,-3.08920322870327
"430","ENSG00000244575.3","IGKV1-27",1.22677080771455e-25,-3.51127095038975
"431","ENSG00000242472.1","IGHJ5",1.26364286571511e-25,-3.43775833557774
"432","ENSG00000167798.17","C3P1",1.28337201508678e-25,-2.19560858661017
"433","ENSG00000274576.2","IGHV2-70",1.48111804635168e-25,-3.41644759661459
"434","ENSG00000243063.1","IGKV3-7",1.62522029904454e-25,-2.8497243987664
"435","ENSG00000276966.2","HIST1H4E",1.7394629528637e-25,2.05482958588875
"436","ENSG00000224650.2","IGHV3-74",2.07279321480322e-25,-3.22115235614755
"437","ENSG00000211597.2","IGKJ1",2.90220704236851e-25,-3.06935501360844
"438","ENSG00000211670.2","IGLV3-9",3.23169949286679e-25,-3.08592733402515
"439","ENSG00000211893.4","IGHG2",3.40521630598283e-25,-3.00430314527032
"440","ENSG00000211951.2","IGHV2-26",3.50166229466797e-25,-3.30002326212547
"441","ENSG00000211593.2","IGKJ5",4.14261079264939e-25,-2.89479994469921
"442","ENSG00000244116.3","IGKV2-28",4.8320826628536e-25,-4.02728841514625
"443","ENSG00000211946.3","IGHV3-20",4.94314581736534e-25,-3.34832137676788
"444","ENSG00000211651.3","IGLV1-44",6.07293884103081e-25,-3.65841684607384
"445","ENSG00000211595.2","IGKJ3",6.43685511849696e-25,-2.67473051347337
"446","ENSG00000166741.7","NNMT",7.88192056924465e-25,-2.21452429976699
"447","ENSG00000211668.2","IGLV2-11",8.27820725842352e-25,-3.65751217041563
"448","ENSG00000137077.7","CCL21",9.81615912757781e-25,-3.15738765784144
"449","ENSG00000240382.3","IGKV1-17",1.00008705153644e-24,-3.4851750160146
"450","ENSG00000280081.3","LINC01667",1.14821934843475e-24,3.96716284508414
"451","ENSG00000205358.3","MT1H",1.19822117553576e-24,-4.26788616723334
"452","ENSG00000239951.1","IGKV3-20",1.24119949506716e-24,-3.66149082303527
"453","ENSG00000240041.1","IGHJ4",1.27605447758091e-24,-3.24593006879619
"454","ENSG00000211660.3","IGLV2-23",1.36198971556898e-24,-3.61608996391167
"455","ENSG00000253931.1","AC105118.1",1.62776066354829e-24,2.72338683268532
"456","ENSG00000285094.1","LINC01488",1.6508113284712e-24,-5.63428901265799
"457","ENSG00000211678.2","IGLJ3",1.73281737196293e-24,-2.86594060751864
"458","ENSG00000156222.11","SLC28A1",2.1622159161241e-24,-2.11728593434455
"459","ENSG00000225765.1","LINC01831",2.26763012803728e-24,-2.53304568926213
"460","ENSG00000224373.3","IGHV4-59",2.31167592397091e-24,-3.80348446005359
