"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"1149",-2.79507513793385,"DMKN",6.68763075764738e-18,-1.02328980517087,"DMKN",0.0123781085761861,-1.71819462999546
"1156",-3.20269058810015,"CYP2B7P",5.22696352918943e-18,-2.74953053232268,"CYP2B7P",1.04910472637564e-07,-0.351130742547978
"1162",-2.28290423907708,"TMC4",7.4727105782084e-18,-1.73746349059472,"TMC4",1.59373951573623e-06,-0.471810209783316
"1167",-4.09174923550164,"IGHV1-2",9.10893091207698e-18,-2.74456057639502,"IGHV1-2",4.06567679091406e-05,-1.24529880369168
"1171",-2.67761181378171,"WNT11",9.16988478724095e-18,-2.72372016896141,"WNT11",8.32387183652512e-10,0.147413425192662
"1175",-2.73983845034221,"ISLR",9.25812439164465e-18,-1.78756041819895,"ISLR",2.09628640195649e-05,-0.8772417650754
"1176",-2.06989484835847,"FCRL3",1.01009064231448e-17,-1.85438801372351,"FCRL3",2.51778916989262e-08,-0.138595373790931
"1177",-3.88182073162313,"IGHV1-3",1.09343613238717e-17,-2.69192937260668,"IGHV1-3",1.69267645444671e-05,-1.0894783441941
"1178",-4.23699334413257,"IGKV1-5",9.5491766108205e-18,-2.75123191517394,"IGKV1-5",9.13211026636004e-06,-1.38368437463493
"1190",4.38348981352992,"SSX1",1.4343252560342e-17,4.16538608176397,"SSX1",2.80792165052654e-09,0.126099300466998
"1192",2.97505513902467,"OSR2",1.45222540958116e-17,2.25204603348495,"OSR2",3.61910890770027e-06,0.684693323698596
"1196",-3.41753841695199,"IGHV4-34",1.46899824242271e-17,-2.17849236145457,"IGHV4-34",7.83213062282967e-05,-1.1530401711458
"1206",-2.02424719878298,"VSIG4",1.19713988975015e-17,-1.56215715978662,"VSIG4",1.12656741948232e-05,-0.393378625964999
"1224",-3.73401178140995,"IGHG3",1.76425296527576e-17,-2.55599829581266,"IGHG3",3.02907354312925e-06,-1.08141472007108
"1230",-2.96819532725557,"DEFB1",1.738722413048e-17,-2.26994728361626,"DEFB1",5.38604888511235e-07,-0.609675918508088
"1240",-4.31790043643475,"IGKV3-15",2.51290069016222e-17,-2.81577133658052,"IGKV3-15",1.58517872180105e-05,-1.39824105831201
"1249",-4.2207594514701,"IGKV3-11",3.40409122374805e-17,-2.91103268983671,"IGKV3-11",1.06606368790125e-05,-1.20316567020313
"1251",-2.36711439770679,"IGHV3-60",4.57337542004775e-17,-1.70458678241011,"IGHV3-60",2.33677735872876e-05,-0.589819602660183
"1255",-2.6639971770351,"IGHV1OR15-9",4.92818992962674e-17,-2.3078023185552,"IGHV1OR15-9",4.52463731101752e-07,-0.266560514584754
"1270",4.89825000846791,"SPINK1",4.34877519223486e-17,6.15291609210616,"SPINK1",1.38496355924957e-14,-1.40244094743725
"1280",-5.81250721082243,"LINC01488",6.43138598737274e-17,-4.74665932213936,"LINC01488",6.26475286780403e-07,-0.907778799557469
"1287",-4.24153331466644,"IGHG1",6.1932652755572e-17,-3.04992051645046,"IGHG1",3.2932728201026e-05,-1.08115449058323
"1293",-2.11113586459338,"VNN3",6.12586275996797e-17,-1.18500781717724,"VNN3",0.000492172891919241,-0.867999509533824
"1297",-2.6180036756766,"UNC93A",8.38898141788303e-17,-1.05062210107076,"UNC93A",0.00950632394544301,-1.51302392293409
"1298",-4.08810834598198,"IGHV4-31",1.04774550892497e-16,-2.46574212419405,"IGHV4-31",0.000272124813712829,-1.52830005989576
"1299",-2.07461350702824,"FOS",6.54719479789382e-17,-2.43417885203101,"FOS",1.88167034454105e-12,0.452745836072111
"1303",2.20382860154781,"TDGF1",9.47970750945862e-17,1.07276753589774,"TDGF1",0.00710055883857703,1.12583604042958
"1304",-4.35083288814638,"IGHV4-4",1.09551977919792e-16,-2.5819522569396,"IGHV4-4",0.000437640838638203,-1.67155359308614
"1305",2.03475027086316,"HIST2H3C",1.17170191610598e-16,1.76855499035771,"HIST2H3C",2.65260945618185e-07,0.241446340143345
"1309",-2.48755338177347,"S100A12",1.25157083242834e-16,-1.84819118086437,"S100A12",1.84526427720088e-05,-0.562624624256447
"1319",-2.08793582325162,"HP",1.51471947776349e-16,-1.93423682777345,"HP",3.1391044781291e-08,-0.0745469632359695
"1323",-2.35387402039885,"GUCA2B",1.68756797938513e-16,-1.00995436345467,"GUCA2B",0.01271831473924,-1.29070314895522
"1329",-2.15616027669548,"C11orf96",1.11238499334916e-16,-1.79657232869147,"C11orf96",1.80408129797531e-06,-0.284298805184235
"1335",-2.06426315643363,"RETREG1",1.24193875448763e-16,-3.2640719193702,"RETREG1",1.26059930027374e-13,1.31627619561356
"1348",-4.03870663357017,"MUC5B",2.14872061955072e-16,-3.78097904119035,"MUC5B",4.94379200213413e-08,-0.12675565733242
"1355",-3.8582049167223,"IGKV2D-28",2.24570462432228e-16,-3.35771675210822,"IGKV2D-28",3.96257909181536e-07,-0.381393041891645
"1359",-4.14906371613936,"IGKV1-8",2.58869170241326e-16,-3.07630852268969,"IGKV1-8",4.89116102642664e-06,-0.961556433842296
"1368",-2.36684173941486,"AC009878.1",2.99788327552894e-16,-2.15402084215855,"AC009878.1",1.83223875748374e-07,-0.127501687927438
"1371",2.17311163150641,"MKRN3",2.94814885021385e-16,2.42039036140156,"MKRN3",2.19307579839537e-10,-0.29031828241042
"1372",-2.12000570229608,"HNRNPA1P70",3.15513065935965e-16,-1.76206987805203,"HNRNPA1P70",1.10673663017333e-06,-0.283614826098549
"1377",-2.31447821661197,"MT1X",1.87917313100897e-16,-2.57970147045475,"MT1X",4.02818155515312e-11,0.362487134509158
"1381",2.20907910768645,"HIST1H4E",3.3475646808646e-16,1.74113782127621,"HIST1H4E",5.90261753665155e-06,0.443961676508377
"1386",-2.6510037281951,"GJB3",3.87407668313239e-16,-1.99539305941392,"GJB3",1.69741251382528e-05,-0.574742582204748
