"","M_HBV_unfiltered.logFC","M_HBV_unfiltered.gene_name","M_HBV_unfiltered.adj.P.Val","F_HBV_unfiltered.logFC","F_HBV_unfiltered.gene_name","F_HBV_unfiltered.adj.P.Val","residuals"
"5311",-2.00314116204126,"IGKV6-21",0.000411515814865509,-1.21060452397561,"IGKV6-21",0.432258716520654,-0.994614538462463
"5326",2.25678141846746,"FDCSP",0.000432730600494597,2.21949688434249,"FDCSP",0.150000206030852,0.538125132465411
"5367",-2.51718435594273,"IGHV5-10-1",0.000469810632038798,0.776751832401424,"IGHV5-10-1",0.69313141871718,-3.08875220922544
"5395",-2.7128649840038,"IGKV1-8",0.000498119037466093,-1.4598099255627,"IGKV1-8",0.483264348502606,-1.50620173666938
"5446",-2.59877699576009,"IGKV2-29",0.000541456055462811,-1.50739346528304,"IGKV2-29",0.424884318720305,-1.35428133449529
"5468",-2.17743197823268,"CPS1-IT1",0.00051149480526812,-2.16447035336619,"CPS1-IT1",0.103301609262526,-0.410511861785493
"5479",-2.17531393450885,"CBSL",0.000435453013307319,-1.40500142985038,"CBSL",0.240095792277271,-1.01222747252661
"5518",-2.00453248707499,"IGHV3-69-1",0.000672519374315587,0.136579210910716,"IGHV3-69-1",0.939096204930975,-2.06711602045472
"5581",-2.16117129443702,"IGHV1-3",0.000662356934623627,-0.82329298431779,"IGHV1-3",0.648955265612357,-1.46058583232848
"5892",-2.31815341811226,"IGHV4-4",0.00150051910640638,-0.880760221343781,"IGHV4-4",0.657993712520393,-1.5718772757521
"5929",2.03571189568572,"CTAG2",0.00188821781474282,-0.84441819788398,"CTAG2",0.648315797844295,2.75309345637585
"5954",-2.13075760558267,"SERTM2",0.00170852085454359,-5.97927600982507,"SERTM2",0.000124597580442424,2.66921359338872
"5963",-2.16805974194577,"APOA4",0.00140172495739611,-3.55526738845852,"APOA4",0.0278956696045204,0.704646312958362
"6016",-2.14424865210802,"IGHV1-69",0.00212487075456149,-1.10507612299012,"IGHV1-69",0.546410097958479,-1.21962486911146
"6055",2.02065570241793,"FGF19",0.00228694084558535,-0.31172966719743,"FGF19",0.889544424847711,2.31451070103757
"6523",-2.68658678780733,"AL121722.1",0.00398946520915564,-1.76081209064628,"AL121722.1",0.477197205423077,-1.24060467999488
"6525",-2.00361223226849,"UGT2B17",0.00574259040842807,-1.83282979530943,"UGT2B17",0.343905330557704,-0.50037075222049
"6651",-2.21250629704203,"RNA5SP333",0.00739260480711033,0.138630197660758,"RNA5SP333",0.958026675643826,-2.27672051574172
"6891",-2.40356009167245,"BZW1P2",0.00934408089451854,-0.978548082525424,"BZW1P2",0.626125003189072,-1.57953540720437
"6923",2.23912170881544,"REG3A",0.0117175949739929,0.965008651992065,"REG3A",0.720040725741047,1.51787583733927
