"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"87",-4.04940112334392,"SAMD11",1.49295980984192e-37,-3.57544856929996,"SAMD11",2.02661629196819e-17,-0.348747839239586
"88",-2.3596955759501,"RND3",1.3584028443629e-37,-2.06437947468498,"RND3",4.36836916919811e-17,-0.212512244060686
"89",-3.67314663170204,"TEX26",1.28385423112907e-37,-4.02393595286037,"TEX26",1.83446832011751e-23,0.488578668759103
"91",-5.64578112846763,"CFTR",2.56243042469003e-37,-5.81679762340656,"CFTR",2.26893135588199e-20,0.359113848083679
"92",2.24629353968752,"CDCA8",3.25859703477685e-37,2.61307726933887,"CDCA8",8.63279704424044e-28,-0.415230109805367
"93",2.26110217323507,"PRC1",3.56648950946309e-37,2.53887909159132,"PRC1",4.26250314634221e-26,-0.324141284934541
"94",-2.0930442112091,"AADAT",3.66571249850034e-37,-2.03273709785448,"AADAT",2.06277557443365e-18,0.021608853336472
"96",-3.67122994324899,"LINC02593",5.87347911082988e-37,-3.46464262437054,"LINC02593",2.53765610015572e-18,-0.0844918378668402
"98",2.60709936891447,"ASPM",1.06154179133575e-36,3.18180883378281,"ASPM",2.13090789640224e-28,-0.639114550128906
"99",2.23746387147721,"CCNB1",1.13970913084912e-36,2.67523820124859,"CCNB1",2.38031639163973e-28,-0.487964956321262
"102",-4.42704930858504,"TMEM125",1.61219015525644e-36,-4.01537210142992,"TMEM125",3.0359064160239e-17,-0.274128162692241
"103",2.36782994160539,"HJURP",1.81930824676912e-36,2.74712217322433,"HJURP",1.93157356443812e-27,-0.431499934734231
"104",2.77860607386861,"KIF20A",1.98834385577547e-36,3.25293374036673,"KIF20A",3.68983407203407e-27,-0.540728528819193
"106",-3.79371671500534,"MFSD2A",2.49617689911964e-36,-4.41259826163685,"MFSD2A",6.12488808534706e-23,0.767576825183835
"108",2.26330555475726,"HMMR",4.18217470023572e-36,2.37189655630081,"HMMR",8.05208049180629e-22,-0.150269809582022
"109",2.48317778612272,"TROAP",4.28873746945855e-36,3.02012001008585,"TROAP",1.02973604258068e-28,-0.59681029313786
"110",-4.49187312233609,"ASPG",4.04214564364175e-36,-2.38902278821684,"ASPG",1.7600012619893e-09,-2.01093692993454
"111",-5.88883550554854,"DPT",4.55932499293767e-36,-4.47099127867955,"DPT",4.30994150446646e-15,-1.26751043025731
